Primary_key,Currency,Rate,Base,Date,Timestamp
AED2024060310,AED,3.673005,USD,2024-06-03,1717408800
AFN2024060310,AFN,71.741032,USD,2024-06-03,1717408800
ALL2024060310,ALL,92.780552,USD,2024-06-03,1717408800
AMD2024060310,AMD,388.055345,USD,2024-06-03,1717408800
ANG2024060310,ANG,1.801091,USD,2024-06-03,1717408800
AOA2024060310,AOA,855.074367,USD,2024-06-03,1717408800
ARS2024060310,ARS,895.754145,USD,2024-06-03,1717408800
AUD2024060310,AUD,1.506305,USD,2024-06-03,1717408800
AWG2024060310,AWG,1.8,USD,2024-06-03,1717408800
AZN2024060310,AZN,1.7,USD,2024-06-03,1717408800
BAM2024060310,BAM,1.801452,USD,2024-06-03,1717408800
BBD2024060310,BBD,2.0,USD,2024-06-03,1717408800
BDT2024060310,BDT,117.327364,USD,2024-06-03,1717408800
BGN2024060310,BGN,1.803432,USD,2024-06-03,1717408800
BHD2024060310,BHD,0.37689,USD,2024-06-03,1717408800
BIF2024060310,BIF,2870.013178,USD,2024-06-03,1717408800
BMD2024060310,BMD,1.0,USD,2024-06-03,1717408800
BND2024060310,BND,1.350963,USD,2024-06-03,1717408800
BOB2024060310,BOB,6.920151,USD,2024-06-03,1717408800
BRL2024060310,BRL,5.2455,USD,2024-06-03,1717408800
BSD2024060310,BSD,1.0,USD,2024-06-03,1717408800
BTC2024060310,BTC,1.4492402e-05,USD,2024-06-03,1717408800
BTN2024060310,BTN,83.418536,USD,2024-06-03,1717408800
BWP2024060310,BWP,13.699311,USD,2024-06-03,1717408800
BYN2024060310,BYN,3.270515,USD,2024-06-03,1717408800
BZD2024060310,BZD,2.014424,USD,2024-06-03,1717408800
CAD2024060310,CAD,1.36637,USD,2024-06-03,1717408800
CDF2024060310,CDF,2795.672627,USD,2024-06-03,1717408800
CHF2024060310,CHF,0.902052,USD,2024-06-03,1717408800
CLF2024060310,CLF,0.033308,USD,2024-06-03,1717408800
CLP2024060310,CLP,917.431193,USD,2024-06-03,1717408800
CNH2024060310,CNH,7.25986,USD,2024-06-03,1717408800
CNY2024060310,CNY,7.2461,USD,2024-06-03,1717408800
COP2024060310,COP,3865.58441,USD,2024-06-03,1717408800
CRC2024060310,CRC,520.68955,USD,2024-06-03,1717408800
CUC2024060310,CUC,1.0,USD,2024-06-03,1717408800
CUP2024060310,CUP,25.75,USD,2024-06-03,1717408800
CVE2024060310,CVE,101.563997,USD,2024-06-03,1717408800
CZK2024060310,CZK,22.814965,USD,2024-06-03,1717408800
DJF2024060310,DJF,177.932951,USD,2024-06-03,1717408800
DKK2024060310,DKK,6.884035,USD,2024-06-03,1717408800
DOP2024060310,DOP,59.133722,USD,2024-06-03,1717408800
DZD2024060310,DZD,134.658992,USD,2024-06-03,1717408800
EGP2024060310,EGP,47.235541,USD,2024-06-03,1717408800
ERN2024060310,ERN,15.0,USD,2024-06-03,1717408800
ETB2024060310,ETB,57.433303,USD,2024-06-03,1717408800
EUR2024060310,EUR,0.922942,USD,2024-06-03,1717408800
FJD2024060310,FJD,2.26045,USD,2024-06-03,1717408800
FKP2024060310,FKP,0.787106,USD,2024-06-03,1717408800
GBP2024060310,GBP,0.787106,USD,2024-06-03,1717408800
GEL2024060310,GEL,2.79,USD,2024-06-03,1717408800
GGP2024060310,GGP,0.787106,USD,2024-06-03,1717408800
GHS2024060310,GHS,14.740207,USD,2024-06-03,1717408800
GIP2024060310,GIP,0.787106,USD,2024-06-03,1717408800
GMD2024060310,GMD,67.775,USD,2024-06-03,1717408800
GNF2024060310,GNF,8596.37415,USD,2024-06-03,1717408800
GTQ2024060310,GTQ,7.763869,USD,2024-06-03,1717408800
GYD2024060310,GYD,209.198004,USD,2024-06-03,1717408800
HKD2024060310,HKD,7.821032,USD,2024-06-03,1717408800
HNL2024060310,HNL,24.692472,USD,2024-06-03,1717408800
HRK2024060310,HRK,6.953598,USD,2024-06-03,1717408800
HTG2024060310,HTG,132.710692,USD,2024-06-03,1717408800
HUF2024060310,HUF,360.980701,USD,2024-06-03,1717408800
IDR2024060310,IDR,16227.543441,USD,2024-06-03,1717408800
ILS2024060310,ILS,3.66797,USD,2024-06-03,1717408800
IMP2024060310,IMP,0.787106,USD,2024-06-03,1717408800
INR2024060310,INR,83.162502,USD,2024-06-03,1717408800
IQD2024060310,IQD,1309.122722,USD,2024-06-03,1717408800
IRR2024060310,IRR,42225.0,USD,2024-06-03,1717408800
ISK2024060310,ISK,137.98,USD,2024-06-03,1717408800
JEP2024060310,JEP,0.787106,USD,2024-06-03,1717408800
JMD2024060310,JMD,155.525366,USD,2024-06-03,1717408800
JOD2024060310,JOD,0.7089,USD,2024-06-03,1717408800
JPY2024060310,JPY,157.07266667,USD,2024-06-03,1717408800
KES2024060310,KES,130.5,USD,2024-06-03,1717408800
KGS2024060310,KGS,87.7,USD,2024-06-03,1717408800
KHR2024060310,KHR,4090.614842,USD,2024-06-03,1717408800
KMF2024060310,KMF,454.250319,USD,2024-06-03,1717408800
KPW2024060310,KPW,900.0,USD,2024-06-03,1717408800
KRW2024060310,KRW,1378.50649,USD,2024-06-03,1717408800
KWD2024060310,KWD,0.30669,USD,2024-06-03,1717408800
KYD2024060310,KYD,0.832834,USD,2024-06-03,1717408800
KZT2024060310,KZT,446.738887,USD,2024-06-03,1717408800
LAK2024060310,LAK,21471.026735,USD,2024-06-03,1717408800
LBP2024060310,LBP,89489.070014,USD,2024-06-03,1717408800
LKR2024060310,LKR,300.665838,USD,2024-06-03,1717408800
LRD2024060310,LRD,193.899976,USD,2024-06-03,1717408800
LSL2024060310,LSL,18.732236,USD,2024-06-03,1717408800
LYD2024060310,LYD,4.84853,USD,2024-06-03,1717408800
MAD2024060310,MAD,9.929536,USD,2024-06-03,1717408800
MDL2024060310,MDL,17.699209,USD,2024-06-03,1717408800
MGA2024060310,MGA,4439.663679,USD,2024-06-03,1717408800
MKD2024060310,MKD,56.837782,USD,2024-06-03,1717408800
MMK2024060310,MMK,2098.591118,USD,2024-06-03,1717408800
MNT2024060310,MNT,3450.0,USD,2024-06-03,1717408800
MOP2024060310,MOP,8.048412,USD,2024-06-03,1717408800
MRU2024060310,MRU,39.494142,USD,2024-06-03,1717408800
MUR2024060310,MUR,46.282792,USD,2024-06-03,1717408800
MVR2024060310,MVR,15.4,USD,2024-06-03,1717408800
MWK2024060310,MWK,1731.731642,USD,2024-06-03,1717408800
MXN2024060310,MXN,17.370875,USD,2024-06-03,1717408800
MYR2024060310,MYR,4.707,USD,2024-06-03,1717408800
MZN2024060310,MZN,63.850001,USD,2024-06-03,1717408800
NAD2024060310,NAD,18.732236,USD,2024-06-03,1717408800
NGN2024060310,NGN,1485.0,USD,2024-06-03,1717408800
NIO2024060310,NIO,36.788342,USD,2024-06-03,1717408800
NOK2024060310,NOK,10.514848,USD,2024-06-03,1717408800
NPR2024060310,NPR,133.469047,USD,2024-06-03,1717408800
NZD2024060310,NZD,1.629365,USD,2024-06-03,1717408800
OMR2024060310,OMR,0.384965,USD,2024-06-03,1717408800
PAB2024060310,PAB,1.0,USD,2024-06-03,1717408800
PEN2024060310,PEN,3.748619,USD,2024-06-03,1717408800
PGK2024060310,PGK,3.834784,USD,2024-06-03,1717408800
PHP2024060310,PHP,58.693002,USD,2024-06-03,1717408800
PKR2024060310,PKR,278.119279,USD,2024-06-03,1717408800
PLN2024060310,PLN,3.95377,USD,2024-06-03,1717408800
PYG2024060310,PYG,7533.660709,USD,2024-06-03,1717408800
QAR2024060310,QAR,3.646412,USD,2024-06-03,1717408800
RON2024060310,RON,4.5927,USD,2024-06-03,1717408800
RSD2024060310,RSD,108.085,USD,2024-06-03,1717408800
RUB2024060310,RUB,89.405472,USD,2024-06-03,1717408800
RWF2024060310,RWF,1297.626305,USD,2024-06-03,1717408800
SAR2024060310,SAR,3.750716,USD,2024-06-03,1717408800
SBD2024060310,SBD,8.489576,USD,2024-06-03,1717408800
SCR2024060310,SCR,13.619916,USD,2024-06-03,1717408800
SDG2024060310,SDG,601.0,USD,2024-06-03,1717408800
