Primary_key,Currency,Rate,Base,Date,Timestamp,Rate_Checker
LAK2024060316,LAK,21505.0,USD,2024-06-03,1717430400,202406031621505
LBP2024060316,LBP,89550.0,USD,2024-06-03,1717430400,202406031689550
LKR2024060316,LKR,301.873431,USD,2024-06-03,1717430400,202406031630187
LRD2024060316,LRD,193.899976,USD,2024-06-03,1717430400,202406031619389
LSL2024060316,LSL,18.82,USD,2024-06-03,1717430400,20240603161882
LYD2024060316,LYD,4.85,USD,2024-06-03,1717430400,2024060316485
MAD2024060316,MAD,9.9555,USD,2024-06-03,1717430400,202406031699555
MDL2024060316,MDL,17.599529,USD,2024-06-03,1717430400,202406031617599
MGA2024060316,MGA,4460.577129,USD,2024-06-03,1717430400,202406031644605
MKD2024060316,MKD,56.782786,USD,2024-06-03,1717430400,202406031656782
MMK2024060316,MMK,2098.684565,USD,2024-06-03,1717430400,202406031620986
MNT2024060316,MNT,3450.0,USD,2024-06-03,1717430400,202406031634500
MOP2024060316,MOP,8.050001,USD,2024-06-03,1717430400,202406031680500
MRU2024060316,MRU,39.55,USD,2024-06-03,1717430400,20240603163955
MUR2024060316,MUR,46.279246,USD,2024-06-03,1717430400,202406031646279
MVR2024060316,MVR,15.4,USD,2024-06-03,1717430400,2024060316154
MWK2024060316,MWK,1733.5,USD,2024-06-03,1717430400,202406031617335
MXN2024060316,MXN,17.588291,USD,2024-06-03,1717430400,202406031617588
MYR2024060316,MYR,4.7075,USD,2024-06-03,1717430400,202406031647075
MZN2024060316,MZN,63.850001,USD,2024-06-03,1717430400,202406031663850
NAD2024060316,NAD,18.82,USD,2024-06-03,1717430400,20240603161882
NGN2024060316,NGN,1489.0,USD,2024-06-03,1717430400,202406031614890
NIO2024060316,NIO,36.785319,USD,2024-06-03,1717430400,202406031636785
NOK2024060316,NOK,10.46212,USD,2024-06-03,1717430400,202406031610462
NPR2024060316,NPR,132.933695,USD,2024-06-03,1717430400,202406031613293
NZD2024060316,NZD,1.617412,USD,2024-06-03,1717430400,202406031616174
OMR2024060316,OMR,0.384956,USD,2024-06-03,1717430400,202406031603849
PAB2024060316,PAB,1.0,USD,2024-06-03,1717430400,202406031610
PEN2024060316,PEN,3.7515,USD,2024-06-03,1717430400,202406031637515
PGK2024060316,PGK,3.888768,USD,2024-06-03,1717430400,202406031638887
PHP2024060316,PHP,58.667501,USD,2024-06-03,1717430400,202406031658667
PKR2024060316,PKR,278.425,USD,2024-06-03,1717430400,202406031627842
PLN2024060316,PLN,3.925801,USD,2024-06-03,1717430400,202406031639258
PYG2024060316,PYG,7522.122768,USD,2024-06-03,1717430400,202406031675221
QAR2024060316,QAR,3.6415,USD,2024-06-03,1717430400,202406031636415
RON2024060316,RON,4.5689,USD,2024-06-03,1717430400,202406031645689
RSD2024060316,RSD,107.555,USD,2024-06-03,1717430400,202406031610755
RUB2024060316,RUB,89.285714,USD,2024-06-03,1717430400,202406031689285
RWF2024060316,RWF,1301.0,USD,2024-06-03,1717430400,202406031613010
SAR2024060316,SAR,3.750641,USD,2024-06-03,1717430400,202406031637506
SBD2024060316,SBD,8.489576,USD,2024-06-03,1717430400,202406031684895
SCR2024060316,SCR,13.811883,USD,2024-06-03,1717430400,202406031613811
SDG2024060316,SDG,601.0,USD,2024-06-03,1717430400,20240603166010
SEK2024060316,SEK,10.408888,USD,2024-06-03,1717430400,202406031610408
SGD2024060316,SGD,1.346869,USD,2024-06-03,1717430400,202406031613468
SHP2024060316,SHP,0.78167,USD,2024-06-03,1717430400,202406031607816
SLL2024060316,SLL,20969.5,USD,2024-06-03,1717430400,202406031620969
SOS2024060316,SOS,571.0,USD,2024-06-03,1717430400,20240603165710
SRD2024060316,SRD,32.2345,USD,2024-06-03,1717430400,202406031632234
SSP2024060316,SSP,130.26,USD,2024-06-03,1717430400,202406031613026
STD2024060316,STD,22281.8,USD,2024-06-03,1717430400,202406031622281
STN2024060316,STN,22.85,USD,2024-06-03,1717430400,20240603162285
SVC2024060316,SVC,8.743966,USD,2024-06-03,1717430400,202406031687439
SYP2024060316,SYP,2512.53,USD,2024-06-03,1717430400,202406031625125
SZL2024060316,SZL,18.82,USD,2024-06-03,1717430400,20240603161882
THB2024060316,THB,36.66,USD,2024-06-03,1717430400,20240603163666
TJS2024060316,TJS,10.733365,USD,2024-06-03,1717430400,202406031610733
TMT2024060316,TMT,3.5,USD,2024-06-03,1717430400,202406031635
TND2024060316,TND,3.10875,USD,2024-06-03,1717430400,202406031631087
TOP2024060316,TOP,2.361474,USD,2024-06-03,1717430400,202406031623614
TRY2024060316,TRY,32.19513,USD,2024-06-03,1717430400,202406031632195
TTD2024060316,TTD,6.782615,USD,2024-06-03,1717430400,202406031667826
TWD2024060316,TWD,32.3195,USD,2024-06-03,1717430400,202406031632319
TZS2024060316,TZS,2600.0,USD,2024-06-03,1717430400,202406031626000
UAH2024060316,UAH,40.385557,USD,2024-06-03,1717430400,202406031640385
UGX2024060316,UGX,3814.103609,USD,2024-06-03,1717430400,202406031638141
USD2024060316,USD,1.0,USD,2024-06-03,1717430400,202406031610
UYU2024060316,UYU,38.781068,USD,2024-06-03,1717430400,202406031638781
UZS2024060316,UZS,12592.16117,USD,2024-06-03,1717430400,202406031612592
VES2024060316,VES,36.491554,USD,2024-06-03,1717430400,202406031636491
VND2024060316,VND,25438.821285,USD,2024-06-03,1717430400,202406031625438
VUV2024060316,VUV,118.722,USD,2024-06-03,1717430400,202406031611872
WST2024060316,WST,2.8,USD,2024-06-03,1717430400,202406031628
XAF2024060316,XAF,602.29826,USD,2024-06-03,1717430400,202406031660229
XAG2024060316,XAG,0.03277292,USD,2024-06-03,1717430400,202406031600327
XAU2024060316,XAU,0.00042683,USD,2024-06-03,1717430400,202406031600004
XCD2024060316,XCD,2.70255,USD,2024-06-03,1717430400,202406031627025
XDR2024060316,XDR,0.755079,USD,2024-06-03,1717430400,202406031607550
XOF2024060316,XOF,602.29826,USD,2024-06-03,1717430400,202406031660229
XPD2024060316,XPD,0.00108998,USD,2024-06-03,1717430400,202406031600010
XPF2024060316,XPF,109.570141,USD,2024-06-03,1717430400,202406031610957
XPT2024060316,XPT,0.00098212,USD,2024-06-03,1717430400,202406031600009
YER2024060316,YER,250.400036,USD,2024-06-03,1717430400,202406031625040
ZAR2024060316,ZAR,18.506163,USD,2024-06-03,1717430400,202406031618506
ZMW2024060316,ZMW,25.998949,USD,2024-06-03,1717430400,202406031625998
ZWL2024060316,ZWL,322.0,USD,2024-06-03,1717430400,20240603163220
