Primary_key,Currency,Rate,Base,Date,Timestamp,Rate_Checker
AED2024060315,AED,3.6729,USD,2024-06-03,1717426800,202406031536729
AFN2024060315,AFN,70.86901,USD,2024-06-03,1717426800,202406031570869
ALL2024060315,ALL,92.614283,USD,2024-06-03,1717426800,202406031592614
AMD2024060315,AMD,387.131734,USD,2024-06-03,1717426800,202406031538713
ANG2024060315,ANG,1.801096,USD,2024-06-03,1717426800,202406031518010
AOA2024060315,AOA,852.223,USD,2024-06-03,1717426800,202406031585222
ARS2024060315,ARS,895.75475,USD,2024-06-03,1717426800,202406031589575
AUD2024060315,AUD,1.497435,USD,2024-06-03,1717426800,202406031514974
AWG2024060315,AWG,1.8,USD,2024-06-03,1717426800,202406031518
AZN2024060315,AZN,1.7,USD,2024-06-03,1717426800,202406031517
BAM2024060315,BAM,1.803561,USD,2024-06-03,1717426800,202406031518035
BBD2024060315,BBD,2.0,USD,2024-06-03,1717426800,202406031520
BDT2024060315,BDT,117.373138,USD,2024-06-03,1717426800,202406031511737
BGN2024060315,BGN,1.803585,USD,2024-06-03,1717426800,202406031518035
BHD2024060315,BHD,0.376793,USD,2024-06-03,1717426800,202406031503767
BIF2024060315,BIF,2870.196575,USD,2024-06-03,1717426800,202406031528701
BMD2024060315,BMD,1.0,USD,2024-06-03,1717426800,202406031510
BND2024060315,BND,1.349791,USD,2024-06-03,1717426800,202406031513497
BOB2024060315,BOB,6.905296,USD,2024-06-03,1717426800,202406031569052
BRL2024060315,BRL,5.2332,USD,2024-06-03,1717426800,202406031552332
BSD2024060315,BSD,1.0,USD,2024-06-03,1717426800,202406031510
BTC2024060315,BTC,1.4550264e-05,USD,2024-06-03,1717426800,202406031514550
BTN2024060315,BTN,83.083402,USD,2024-06-03,1717426800,202406031583083
BWP2024060315,BWP,13.689724,USD,2024-06-03,1717426800,202406031513689
BYN2024060315,BYN,3.270594,USD,2024-06-03,1717426800,202406031532705
BZD2024060315,BZD,2.014404,USD,2024-06-03,1717426800,202406031520144
CAD2024060315,CAD,1.36299,USD,2024-06-03,1717426800,202406031513629
CDF2024060315,CDF,2795.750793,USD,2024-06-03,1717426800,202406031527957
CHF2024060315,CHF,0.896851,USD,2024-06-03,1717426800,202406031508968
CLF2024060315,CLF,0.033102,USD,2024-06-03,1717426800,202406031500331
CLP2024060315,CLP,913.4,USD,2024-06-03,1717426800,20240603159134
CNH2024060315,CNH,7.2557,USD,2024-06-03,1717426800,202406031572557
CNY2024060315,CNY,7.2427,USD,2024-06-03,1717426800,202406031572427
COP2024060315,COP,3860.880725,USD,2024-06-03,1717426800,202406031538608
CRC2024060315,CRC,520.658934,USD,2024-06-03,1717426800,202406031552065
CUC2024060315,CUC,1.0,USD,2024-06-03,1717426800,202406031510
CUP2024060315,CUP,25.75,USD,2024-06-03,1717426800,20240603152575
CVE2024060315,CVE,101.682515,USD,2024-06-03,1717426800,202406031510168
CZK2024060315,CZK,22.720021,USD,2024-06-03,1717426800,202406031522720
DJF2024060315,DJF,177.934951,USD,2024-06-03,1717426800,202406031517793
