Primary_key,Currency,Rate,Base,Date,Timestamp
AED2024060309,AED,3.673005,USD,2024-06-03,1717405200
AFN2024060309,AFN,71.741032,USD,2024-06-03,1717405200
ALL2024060309,ALL,92.780552,USD,2024-06-03,1717405200
AMD2024060309,AMD,388.055345,USD,2024-06-03,1717405200
ANG2024060309,ANG,1.801091,USD,2024-06-03,1717405200
AOA2024060309,AOA,855.074367,USD,2024-06-03,1717405200
ARS2024060309,ARS,895.7914,USD,2024-06-03,1717405200
AUD2024060309,AUD,1.505419,USD,2024-06-03,1717405200
AWG2024060309,AWG,1.8,USD,2024-06-03,1717405200
AZN2024060309,AZN,1.7,USD,2024-06-03,1717405200
BAM2024060309,BAM,1.801452,USD,2024-06-03,1717405200
BBD2024060309,BBD,2.0,USD,2024-06-03,1717405200
BDT2024060309,BDT,117.327364,USD,2024-06-03,1717405200
BGN2024060309,BGN,1.801584,USD,2024-06-03,1717405200
BHD2024060309,BHD,0.376887,USD,2024-06-03,1717405200
BIF2024060309,BIF,2870.013178,USD,2024-06-03,1717405200
BMD2024060309,BMD,1.0,USD,2024-06-03,1717405200
BND2024060309,BND,1.350963,USD,2024-06-03,1717405200
BOB2024060309,BOB,6.920151,USD,2024-06-03,1717405200
BRL2024060309,BRL,5.2453,USD,2024-06-03,1717405200
BSD2024060309,BSD,1.0,USD,2024-06-03,1717405200
BTC2024060309,BTC,1.446389e-05,USD,2024-06-03,1717405200
BTN2024060309,BTN,83.418536,USD,2024-06-03,1717405200
BWP2024060309,BWP,13.699311,USD,2024-06-03,1717405200
BYN2024060309,BYN,3.270515,USD,2024-06-03,1717405200
BZD2024060309,BZD,2.014424,USD,2024-06-03,1717405200
CAD2024060309,CAD,1.365523,USD,2024-06-03,1717405200
CDF2024060309,CDF,2795.672627,USD,2024-06-03,1717405200
CHF2024060309,CHF,0.902733,USD,2024-06-03,1717405200
CLF2024060309,CLF,0.033308,USD,2024-06-03,1717405200
CLP2024060309,CLP,917.431193,USD,2024-06-03,1717405200
CNH2024060309,CNH,7.259055,USD,2024-06-03,1717405200
CNY2024060309,CNY,7.2458,USD,2024-06-03,1717405200
COP2024060309,COP,3863.642553,USD,2024-06-03,1717405200
CRC2024060309,CRC,520.68955,USD,2024-06-03,1717405200
CUC2024060309,CUC,1.0,USD,2024-06-03,1717405200
CUP2024060309,CUP,25.75,USD,2024-06-03,1717405200
CVE2024060309,CVE,101.563997,USD,2024-06-03,1717405200
CZK2024060309,CZK,22.8129,USD,2024-06-03,1717405200
DJF2024060309,DJF,177.932951,USD,2024-06-03,1717405200
DKK2024060309,DKK,6.880648,USD,2024-06-03,1717405200
DOP2024060309,DOP,59.133722,USD,2024-06-03,1717405200
DZD2024060309,DZD,134.632962,USD,2024-06-03,1717405200
EGP2024060309,EGP,47.2409,USD,2024-06-03,1717405200
ERN2024060309,ERN,15.0,USD,2024-06-03,1717405200
ETB2024060309,ETB,57.433303,USD,2024-06-03,1717405200
EUR2024060309,EUR,0.922487,USD,2024-06-03,1717405200
FJD2024060309,FJD,2.26045,USD,2024-06-03,1717405200
FKP2024060309,FKP,0.787104,USD,2024-06-03,1717405200
GBP2024060309,GBP,0.787104,USD,2024-06-03,1717405200
GEL2024060309,GEL,2.79,USD,2024-06-03,1717405200
GGP2024060309,GGP,0.787104,USD,2024-06-03,1717405200
GHS2024060309,GHS,14.740207,USD,2024-06-03,1717405200
GIP2024060309,GIP,0.787104,USD,2024-06-03,1717405200
GMD2024060309,GMD,67.775,USD,2024-06-03,1717405200
GNF2024060309,GNF,8596.37415,USD,2024-06-03,1717405200
GTQ2024060309,GTQ,7.763869,USD,2024-06-03,1717405200
GYD2024060309,GYD,209.198004,USD,2024-06-03,1717405200
HKD2024060309,HKD,7.820648,USD,2024-06-03,1717405200
HNL2024060309,HNL,24.692472,USD,2024-06-03,1717405200
HRK2024060309,HRK,6.950547,USD,2024-06-03,1717405200
HTG2024060309,HTG,132.710692,USD,2024-06-03,1717405200
HUF2024060309,HUF,359.9165,USD,2024-06-03,1717405200
IDR2024060309,IDR,16235.06749,USD,2024-06-03,1717405200
ILS2024060309,ILS,3.677137,USD,2024-06-03,1717405200
IMP2024060309,IMP,0.787104,USD,2024-06-03,1717405200
INR2024060309,INR,83.138345,USD,2024-06-03,1717405200
IQD2024060309,IQD,1309.122722,USD,2024-06-03,1717405200
IRR2024060309,IRR,42225.0,USD,2024-06-03,1717405200
ISK2024060309,ISK,137.55,USD,2024-06-03,1717405200
JEP2024060309,JEP,0.787104,USD,2024-06-03,1717405200
JMD2024060309,JMD,155.525366,USD,2024-06-03,1717405200
JOD2024060309,JOD,0.7089,USD,2024-06-03,1717405200
JPY2024060309,JPY,157.05871429,USD,2024-06-03,1717405200
KES2024060309,KES,130.5,USD,2024-06-03,1717405200
KGS2024060309,KGS,87.7,USD,2024-06-03,1717405200
KHR2024060309,KHR,4090.614842,USD,2024-06-03,1717405200
KMF2024060309,KMF,454.250319,USD,2024-06-03,1717405200
KPW2024060309,KPW,900.0,USD,2024-06-03,1717405200
KRW2024060309,KRW,1378.672012,USD,2024-06-03,1717405200
KWD2024060309,KWD,0.306592,USD,2024-06-03,1717405200
KYD2024060309,KYD,0.832834,USD,2024-06-03,1717405200
KZT2024060309,KZT,446.738887,USD,2024-06-03,1717405200
LAK2024060309,LAK,21471.026735,USD,2024-06-03,1717405200
LBP2024060309,LBP,89489.070014,USD,2024-06-03,1717405200
LKR2024060309,LKR,300.665838,USD,2024-06-03,1717405200
LRD2024060309,LRD,193.899976,USD,2024-06-03,1717405200
LSL2024060309,LSL,18.732236,USD,2024-06-03,1717405200
LYD2024060309,LYD,4.84853,USD,2024-06-03,1717405200
MAD2024060309,MAD,9.929536,USD,2024-06-03,1717405200
MDL2024060309,MDL,17.699209,USD,2024-06-03,1717405200
MGA2024060309,MGA,4439.663679,USD,2024-06-03,1717405200
MKD2024060309,MKD,56.837782,USD,2024-06-03,1717405200
MMK2024060309,MMK,2098.591118,USD,2024-06-03,1717405200
MNT2024060309,MNT,3450.0,USD,2024-06-03,1717405200
