Primary_key,Currency,Rate,Base,Date,Timestamp
AED2024060308,AED,3.67302,USD,2024-06-03,1717401600
AFN2024060308,AFN,71.741032,USD,2024-06-03,1717401600
ALL2024060308,ALL,92.780552,USD,2024-06-03,1717401600
AMD2024060308,AMD,388.055345,USD,2024-06-03,1717401600
ANG2024060308,ANG,1.801091,USD,2024-06-03,1717401600
AOA2024060308,AOA,855.074367,USD,2024-06-03,1717401600
ARS2024060308,ARS,895.779668,USD,2024-06-03,1717401600
AUD2024060308,AUD,1.507497,USD,2024-06-03,1717401600
AWG2024060308,AWG,1.8,USD,2024-06-03,1717401600
AZN2024060308,AZN,1.7,USD,2024-06-03,1717401600
BAM2024060308,BAM,1.801452,USD,2024-06-03,1717401600
BBD2024060308,BBD,2.0,USD,2024-06-03,1717401600
BDT2024060308,BDT,117.327364,USD,2024-06-03,1717401600
BGN2024060308,BGN,1.8036,USD,2024-06-03,1717401600
BHD2024060308,BHD,0.376877,USD,2024-06-03,1717401600
BIF2024060308,BIF,2870.013178,USD,2024-06-03,1717401600
BMD2024060308,BMD,1.0,USD,2024-06-03,1717401600
BND2024060308,BND,1.350963,USD,2024-06-03,1717401600
BOB2024060308,BOB,6.920151,USD,2024-06-03,1717401600
BRL2024060308,BRL,5.2457,USD,2024-06-03,1717401600
BSD2024060308,BSD,1.0,USD,2024-06-03,1717401600
BTC2024060308,BTC,1.4518792e-05,USD,2024-06-03,1717401600
BTN2024060308,BTN,83.418536,USD,2024-06-03,1717401600
BWP2024060308,BWP,13.699311,USD,2024-06-03,1717401600
BYN2024060308,BYN,3.270515,USD,2024-06-03,1717401600
BZD2024060308,BZD,2.014424,USD,2024-06-03,1717401600
CAD2024060308,CAD,1.365667,USD,2024-06-03,1717401600
CDF2024060308,CDF,2795.672627,USD,2024-06-03,1717401600
CHF2024060308,CHF,0.902592,USD,2024-06-03,1717401600
CLF2024060308,CLF,0.033308,USD,2024-06-03,1717401600
CLP2024060308,CLP,917.431193,USD,2024-06-03,1717401600
CNH2024060308,CNH,7.260414,USD,2024-06-03,1717401600
CNY2024060308,CNY,7.246,USD,2024-06-03,1717401600
COP2024060308,COP,3863.642553,USD,2024-06-03,1717401600
CRC2024060308,CRC,520.68955,USD,2024-06-03,1717401600
CUC2024060308,CUC,1.0,USD,2024-06-03,1717401600
