Primary_key,Currency,Rate,Base,Date,Timestamp,Rate_Checker
AED2024060715,AED,3.6729,USD,2024-06-07,1717772400,AED202406071536729
AFN2024060715,AFN,70.310599,USD,2024-06-07,1717772400,AFN202406071570310
ALL2024060715,ALL,92.152987,USD,2024-06-07,1717772400,ALL202406071592152
AMD2024060715,AMD,387.71,USD,2024-06-07,1717772400,AMD202406071538771
ANG2024060715,ANG,1.801979,USD,2024-06-07,1717772400,ANG202406071518019
AOA2024060715,AOA,852.484,USD,2024-06-07,1717772400,AOA202406071585248
ARS2024060715,ARS,899.0125,USD,2024-06-07,1717772400,ARS202406071589901
AUD2024060715,AUD,1.51641,USD,2024-06-07,1717772400,AUD202406071515164
AWG2024060715,AWG,1.8,USD,2024-06-07,1717772400,AWG202406071518
AZN2024060715,AZN,1.7,USD,2024-06-07,1717772400,AZN202406071517
BAM2024060715,BAM,1.795918,USD,2024-06-07,1717772400,BAM202406071517959
BBD2024060715,BBD,2.0,USD,2024-06-07,1717772400,BBD202406071520
BDT2024060715,BDT,117.435306,USD,2024-06-07,1717772400,BDT202406071511743
BGN2024060715,BGN,1.796273,USD,2024-06-07,1717772400,BGN202406071517962
BHD2024060715,BHD,0.376859,USD,2024-06-07,1717772400,BHD202406071503768
BIF2024060715,BIF,2872.844457,USD,2024-06-07,1717772400,BIF202406071528728
BMD2024060715,BMD,1.0,USD,2024-06-07,1717772400,BMD202406071510
BND2024060715,BND,1.345332,USD,2024-06-07,1717772400,BND202406071513453
BOB2024060715,BOB,6.909408,USD,2024-06-07,1717772400,BOB202406071569094
BRL2024060715,BRL,5.275,USD,2024-06-07,1717772400,BRL20240607155275
BSD2024060715,BSD,1.0,USD,2024-06-07,1717772400,BSD202406071510
BTC2024060715,BTC,1.40095e-05,USD,2024-06-07,1717772400,BTC202406071514009
BTN2024060715,BTN,83.423662,USD,2024-06-07,1717772400,BTN202406071583423
BWP2024060715,BWP,13.744432,USD,2024-06-07,1717772400,BWP202406071513744
BYN2024060715,BYN,3.271642,USD,2024-06-07,1717772400,BYN202406071532716
BZD2024060715,BZD,2.01552,USD,2024-06-07,1717772400,BZD202406071520155
CAD2024060715,CAD,1.37393,USD,2024-06-07,1717772400,CAD202406071513739
CDF2024060715,CDF,2826.122993,USD,2024-06-07,1717772400,CDF202406071528261
CHF2024060715,CHF,0.896618,USD,2024-06-07,1717772400,CHF202406071508966
CLF2024060715,CLF,0.033063,USD,2024-06-07,1717772400,CLF202406071500330
CLP2024060715,CLP,912.46,USD,2024-06-07,1717772400,CLP202406071591246
CNH2024060715,CNH,7.264122,USD,2024-06-07,1717772400,CNH202406071572641
CNY2024060715,CNY,7.2466,USD,2024-06-07,1717772400,CNY202406071572466
COP2024060715,COP,3949.87,USD,2024-06-07,1717772400,COP202406071539498
CRC2024060715,CRC,528.490924,USD,2024-06-07,1717772400,CRC202406071552849
CUC2024060715,CUC,1.0,USD,2024-06-07,1717772400,CUC202406071510
CUP2024060715,CUP,25.75,USD,2024-06-07,1717772400,CUP20240607152575
CVE2024060715,CVE,101.25114,USD,2024-06-07,1717772400,CVE202406071510125
CZK2024060715,CZK,22.772301,USD,2024-06-07,1717772400,CZK202406071522772
DJF2024060715,DJF,178.019985,USD,2024-06-07,1717772400,DJF202406071517801
DKK2024060715,DKK,6.899758,USD,2024-06-07,1717772400,DKK202406071568997
DOP2024060715,DOP,59.365026,USD,2024-06-07,1717772400,DOP202406071559365
DZD2024060715,DZD,134.747,USD,2024-06-07,1717772400,DZD202406071513474
EGP2024060715,EGP,47.5276,USD,2024-06-07,1717772400,EGP202406071547527
ERN2024060715,ERN,15.0,USD,2024-06-07,1717772400,ERN2024060715150
ETB2024060715,ETB,57.503472,USD,2024-06-07,1717772400,ETB202406071557503
EUR2024060715,EUR,0.924858,USD,2024-06-07,1717772400,EUR202406071509248
FJD2024060715,FJD,2.25895,USD,2024-06-07,1717772400,FJD202406071522589
FKP2024060715,FKP,0.78603,USD,2024-06-07,1717772400,FKP202406071507860
GBP2024060715,GBP,0.78603,USD,2024-06-07,1717772400,GBP202406071507860
GEL2024060715,GEL,2.785,USD,2024-06-07,1717772400,GEL20240607152785
GGP2024060715,GGP,0.78603,USD,2024-06-07,1717772400,GGP202406071507860
GHS2024060715,GHS,14.873961,USD,2024-06-07,1717772400,GHS202406071514873
GIP2024060715,GIP,0.78603,USD,2024-06-07,1717772400,GIP202406071507860
GMD2024060715,GMD,67.775,USD,2024-06-07,1717772400,GMD202406071567775
GNF2024060715,GNF,8610.587561,USD,2024-06-07,1717772400,GNF202406071586105
GTQ2024060715,GTQ,7.769335,USD,2024-06-07,1717772400,GTQ202406071577693
GYD2024060715,GYD,209.185245,USD,2024-06-07,1717772400,GYD202406071520918
HKD2024060715,HKD,7.812018,USD,2024-06-07,1717772400,HKD202406071578120
HNL2024060715,HNL,24.703748,USD,2024-06-07,1717772400,HNL202406071524703
HRK2024060715,HRK,6.967705,USD,2024-06-07,1717772400,HRK202406071569677
HTG2024060715,HTG,132.632376,USD,2024-06-07,1717772400,HTG202406071513263
HUF2024060715,HUF,361.870185,USD,2024-06-07,1717772400,HUF202406071536187
IDR2024060715,IDR,16283.647281,USD,2024-06-07,1717772400,IDR202406071516283
ILS2024060715,ILS,3.762816,USD,2024-06-07,1717772400,ILS202406071537628
IMP2024060715,IMP,0.78603,USD,2024-06-07,1717772400,IMP202406071507860
INR2024060715,INR,83.496627,USD,2024-06-07,1717772400,INR202406071583496
IQD2024060715,IQD,1309.79621,USD,2024-06-07,1717772400,IQD202406071513097
IRR2024060715,IRR,42100.0,USD,2024-06-07,1717772400,IRR202406071542100
ISK2024060715,ISK,138.65,USD,2024-06-07,1717772400,ISK202406071513865
JEP2024060715,JEP,0.78603,USD,2024-06-07,1717772400,JEP202406071507860
JMD2024060715,JMD,155.432601,USD,2024-06-07,1717772400,JMD202406071515543
JOD2024060715,JOD,0.7088,USD,2024-06-07,1717772400,JOD202406071507088
JPY2024060715,JPY,156.868575,USD,2024-06-07,1717772400,JPY202406071515686
KES2024060715,KES,129.5,USD,2024-06-07,1717772400,KES20240607151295
KGS2024060715,KGS,87.3013,USD,2024-06-07,1717772400,KGS202406071587301
KHR2024060715,KHR,4110.364623,USD,2024-06-07,1717772400,KHR202406071541103
